game,shots,hits,accuracy
685,42,17,40.476190476190474
686,42,17,40.476190476190474
687,39,17,43.58974358974359
688,42,17,40.476190476190474
689,38,17,44.73684210526316
690,86,17,19.767441860465116
691,54,17,31.48148148148148
692,50,17,34.0
693,47,17,36.17021276595745
694,54,17,31.48148148148148
695,38,17,44.73684210526316
696,42,17,40.476190476190474
697,50,17,34.0
698,29,17,58.620689655172406
699,42,17,40.476190476190474
700,42,17,40.476190476190474
701,43,17,39.53488372093023
702,48,17,35.41666666666667
703,49,17,34.69387755102041
704,52,17,32.69230769230769
705,51,17,33.33333333333333
706,52,17,32.69230769230769
707,72,17,23.61111111111111
708,58,17,29.310344827586203
709,51,17,33.33333333333333
710,45,17,37.77777777777778
711,44,17,38.63636363636363
712,61,17,27.86885245901639
713,90,17,18.88888888888889
714,43,17,39.53488372093023
715,38,17,44.73684210526316
716,57,17,29.82456140350877
717,50,17,34.0
718,40,17,42.5
719,64,17,26.5625
720,40,17,42.5
721,60,17,28.333333333333332
722,51,17,33.33333333333333
723,59,17,28.8135593220339
724,45,17,37.77777777777778
725,87,17,19.54022988505747
726,40,17,42.5
727,42,17,40.476190476190474
728,39,17,43.58974358974359
729,31,17,54.83870967741935
730,47,17,36.17021276595745
731,56,17,30.357142857142854
732,37,17,45.94594594594595
733,39,17,43.58974358974359
734,42,17,40.476190476190474
735,40,17,42.5
736,51,17,33.33333333333333
737,59,17,28.8135593220339
738,40,17,42.5
739,42,17,40.476190476190474
740,47,17,36.17021276595745
741,51,17,33.33333333333333
742,64,17,26.5625
743,55,17,30.909090909090907
744,62,17,27.419354838709676
745,33,17,51.515151515151516
746,46,17,36.95652173913043
747,51,17,33.33333333333333
748,47,17,36.17021276595745
749,52,17,32.69230769230769
750,42,17,40.476190476190474
751,34,17,50.0
752,81,17,20.98765432098765
753,50,17,34.0
754,56,17,30.357142857142854
755,53,17,32.075471698113205
756,46,17,36.95652173913043
757,48,17,35.41666666666667
758,45,17,37.77777777777778
759,41,17,41.46341463414634
760,55,17,30.909090909090907
761,50,17,34.0
762,44,17,38.63636363636363
763,65,17,26.153846153846157
764,55,17,30.909090909090907
765,41,17,41.46341463414634
766,47,17,36.17021276595745
767,58,17,29.310344827586203
768,39,17,43.58974358974359
769,40,17,42.5
770,38,17,44.73684210526316
771,45,17,37.77777777777778
772,52,17,32.69230769230769
773,80,17,21.25
774,44,17,38.63636363636363
775,46,17,36.95652173913043
776,42,17,40.476190476190474
777,59,17,28.8135593220339
778,44,17,38.63636363636363
779,74,17,22.972972972972975
780,78,17,21.794871794871796
781,41,17,41.46341463414634
782,101,17,16.831683168316832
783,41,17,41.46341463414634
784,48,17,35.41666666666667
785,43,17,39.53488372093023
786,60,17,28.333333333333332
787,53,17,32.075471698113205
788,44,17,38.63636363636363
789,59,17,28.8135593220339
790,59,17,28.8135593220339
791,50,17,34.0
792,45,17,37.77777777777778
793,60,17,28.333333333333332
794,39,17,43.58974358974359
795,60,17,28.333333333333332
796,48,17,35.41666666666667
797,50,17,34.0
798,49,17,34.69387755102041
799,50,17,34.0
800,55,17,30.909090909090907
801,55,17,30.909090909090907
802,51,17,33.33333333333333
803,50,17,34.0
804,43,17,39.53488372093023
805,42,17,40.476190476190474
806,46,17,36.95652173913043
807,98,17,17.346938775510203
808,36,17,47.22222222222222
809,48,17,35.41666666666667
810,53,17,32.075471698113205
811,42,17,40.476190476190474
812,46,17,36.95652173913043
813,89,17,19.101123595505616
814,57,17,29.82456140350877
815,51,17,33.33333333333333
816,42,17,40.476190476190474
817,49,17,34.69387755102041
818,41,17,41.46341463414634
819,54,17,31.48148148148148
820,94,17,18.085106382978726
821,35,17,48.57142857142857
822,50,17,34.0
